epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2041.44,0.86186,1.71194,0.58701,1.00228,0.93369,0.91489,0.96514,0.78164,0.91344,0.89724,0.93112,0.65277,0.75257,1.65213,0.51438,0.96535,0.0088516,0.0088516,0.0088516
31,2109.85,0.86347,1.68816,0.57778,0.99807,0.94703,0.91446,0.97379,0.78991,0.92084,0.8892,0.9263,0.65636,0.76761,1.61586,0.496,0.95753,0.008812,0.008812,0.008812
32,2181.34,0.86478,1.73095,0.58818,1.00747,0.95845,0.90504,0.96049,0.78136,0.93148,0.87979,0.9082,0.62531,0.74176,1.6799,0.51878,0.95595,0.0087724,0.0087724,0.0087724
33,2250.22,0.85392,1.66426,0.56556,0.99795,0.9551,0.91094,0.96687,0.78882,0.9367,0.89278,0.93997,0.65056,0.75142,1.59428,0.51896,0.96395,0.0087328,0.0087328,0.0087328
34,2317.37,0.85551,1.69397,0.57754,1.00016,0.9365,0.9306,0.96647,0.78005,0.91404,0.90775,0.92686,0.64425,0.74967,1.65169,0.50073,0.96533,0.0086932,0.0086932,0.0086932
35,2385.96,0.85173,1.68134,0.5714,1.00158,0.93735,0.91018,0.97019,0.79173,0.89869,0.89921,0.92244,0.65685,0.73608,1.60418,0.50294,0.97026,0.0086536,0.0086536,0.0086536
36,2453.5,0.85593,1.65067,0.57771,1.00305,0.93395,0.91707,0.96908,0.78665,0.91417,0.89751,0.93333,0.65915,0.7464,1.64134,0.49663,0.96369,0.008614,0.008614,0.008614
37,2521.99,0.8483,1.68096,0.56661,0.99183,0.93655,0.935,0.97151,0.79546,0.90859,0.90435,0.92128,0.64138,0.73214,1.6363,0.49157,0.96282,0.0085744,0.0085744,0.0085744
38,2589.87,0.83715,1.64181,0.55616,0.99386,0.95333,0.91591,0.97178,0.79755,0.93083,0.89489,0.93317,0.64958,0.73058,1.63695,0.48661,0.96191,0.0085348,0.0085348,0.0085348
39,2657.75,0.83525,1.66934,0.55023,0.99085,0.94657,0.93296,0.97432,0.79285,0.92274,0.90631,0.9202,0.64348,0.73638,1.58657,0.48867,0.95284,0.0084952,0.0084952,0.0084952
40,2726.09,0.83889,1.65818,0.55741,0.98767,0.95506,0.91275,0.96852,0.79036,0.92886,0.8875,0.92458,0.66363,0.729,1.57453,0.48396,0.95495,0.0084556,0.0084556,0.0084556
41,2796.27,0.83559,1.64124,0.55702,0.9953,0.95529,0.91883,0.97488,0.80254,0.93317,0.90195,0.93711,0.66499,0.72603,1.58651,0.47674,0.94536,0.008416,0.008416,0.008416
42,2865.22,0.83827,1.61796,0.55382,0.9869,0.94104,0.92885,0.97532,0.79847,0.92253,0.90794,0.94007,0.66628,0.72245,1.57402,0.47489,0.94621,0.0083764,0.0083764,0.0083764
43,2933.42,0.8295,1.63748,0.5469,0.9907,0.9495,0.91593,0.97113,0.79575,0.93965,0.87369,0.92726,0.64908,0.7307,1.62096,0.48028,0.94934,0.0083368,0.0083368,0.0083368
44,3002.35,0.82535,1.6237,0.55857,0.98873,0.95024,0.91542,0.96908,0.78997,0.93423,0.8943,0.92009,0.64372,0.72399,1.67054,0.47523,0.94963,0.0082972,0.0082972,0.0082972
45,3070.81,0.81814,1.63968,0.53902,0.98621,0.9475,0.92623,0.9697,0.7944,0.92568,0.90418,0.92879,0.65448,0.7199,1.5803,0.48334,0.95479,0.0082576,0.0082576,0.0082576
46,3140.83,0.81752,1.60729,0.53806,0.98215,0.93587,0.92673,0.97185,0.7976,0.91099,0.90935,0.92796,0.65463,0.72848,1.57398,0.4704,0.95344,0.008218,0.008218,0.008218
47,3208.64,0.82777,1.62334,0.53518,0.98785,0.95678,0.92785,0.97341,0.79144,0.93416,0.90567,0.93634,0.66677,0.72749,1.55066,0.46677,0.95313,0.0081784,0.0081784,0.0081784
48,3277.61,0.81784,1.56595,0.54216,0.986,0.94237,0.93276,0.97219,0.7927,0.91957,0.91029,0.93305,0.65075,0.72787,1.58454,0.47005,0.95064,0.0081388,0.0081388,0.0081388
49,3347.77,0.81682,1.59923,0.53123,0.98513,0.92419,0.94313,0.97025,0.79901,0.90802,0.91558,0.93639,0.66578,0.71327,1.51857,0.4599,0.93922,0.0080992,0.0080992,0.0080992
50,3415.81,0.80548,1.57714,0.52785,0.9801,0.95245,0.9194,0.97173,0.79709,0.93186,0.89511,0.92892,0.66928,0.72752,1.55298,0.46107,0.94636,0.0080596,0.0080596,0.0080596
51,3483.53,0.8111,1.5808,0.51401,0.98338,0.94504,0.94008,0.97217,0.79917,0.92468,0.91662,0.93175,0.67046,0.71008,1.52381,0.46099,0.9454,0.00802,0.00802,0.00802
52,3552.01,0.8157,1.60952,0.53007,0.98676,0.94858,0.93275,0.97013,0.80558,0.92875,0.91262,0.93382,0.67087,0.696,1.53705,0.45443,0.94233,0.0079804,0.0079804,0.0079804
53,3621.14,0.80416,1.60839,0.51681,0.98115,0.95022,0.92895,0.97181,0.80263,0.93265,0.91168,0.93056,0.66669,0.71147,1.57183,0.4548,0.94885,0.0079408,0.0079408,0.0079408
